experiment_id,year,author,name,model_id,x,y,uncertainty,error
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2100_PAH,14,0.06142227238868026,0.6869218370305272,0.30129857614961386,0.3735350447749831
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2100_PAH,14,0.09248837807668132,0.5847286708610152,0.392700830952477,0.32467018751997234
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2100_PAH,14,0.18734721158465345,0.3531829257709042,0.6999228271419737,0.16042523511942214
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2100_PAH,14,0.23538762384560646,0.33668827025827225,0.6944168039681118,0.1633688281086086
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2100_PAH,14,0.2440386094136585,0.2306737164391793,0.8861706854853598,0.06085466072133902
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2100_PAH,14,0.2893319726665064,0.1491762438791342,0.9956677428057534,-0.0023160821343569116
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2100_PAH,14,0.30960775407361923,0.17008017120575228,0.9498854747307558,0.02679188964173715
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2100_PAH,14,0.3768979048693174,0.083860696063474,0.9397686973885832,-0.03220045294000827
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2100_PAH,14,0.5224337367084626,0.050701531115149946,0.9323568061113551,-0.03616294828580215
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2100_PAH,14,0.5800141922547855,0.026461752087166286,0.9066064612213497,-0.04992942406948265
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2100_PAH,14,0.6782374122954151,0.028390371028468645,0.9436321619650622,-0.030134993554497346
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2100_PAH,14,0.7103668286030346,0.019351487116737218,0.9376561268130307,-0.033329861178767364
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2100_PAH,14,1.0,0.0,1.0,0.0
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF,7,0.0,1.0,0.9999999999999998,1.1102230246251565e-16
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF,7,0.01934579016482242,0.7527599936566927,0.7364454225370207,-0.1408997713941489
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF,7,0.06142227238868026,0.6869218370305272,0.954081343952549,0.024548722325724803
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF,7,0.09248837807668132,0.5847286708610152,0.8258176371492569,0.09312020053990433
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF,7,0.18734721158465345,0.3531829257709042,0.7149583216793065,0.15238706039485017
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF,7,0.23538762384560646,0.33668827025827225,0.5702113819156391,0.2297706934890929
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF,7,0.2440386094136585,0.2306737164391793,0.7590821984889663,0.1287978508453482
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF,7,0.2893319726665064,0.1491762438791342,0.8621491076580377,0.07369691471281783
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF,7,0.30960775407361923,0.17008017120575228,0.8009451304072468,0.10641737241103574
