experiment_id,year,author,name,model_id,x,y,uncertainty,error
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2003_C1C3_DME_LTHT,4,0.18106801030588907,0.36242089770160635,0.7437311380628897,0.137004731277906
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2003_C1C3_DME_LTHT,4,0.2181197186154314,0.28978086692641003,0.8211825328679303,0.09559818874224812
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2003_C1C3_DME_LTHT,4,0.24159151840118337,0.28254054422848485,0.8030407345211833,0.10529703466760285
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2003_C1C3_DME_LTHT,4,0.33033549448319843,0.13973687925331268,0.9773964433705784,0.012084161058547954
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2003_C1C3_DME_LTHT,4,0.3644770304048021,0.17073254000068797,0.8957916795932371,0.05571114971335897
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2003_C1C3_DME_LTHT,4,0.475130874948576,0.09162048584533396,0.9671956393712956,0.01753764612175983
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2003_C1C3_DME_LTHT,4,0.5063506827472675,0.06395267093635698,0.992221971083517,-0.004158237382097779
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2003_C1C3_DME_LTHT,4,0.5505727516451061,0.08413843618927913,0.9586073940886854,0.022129035915270878
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2003_C1C3_DME_LTHT,4,0.5811691603833219,0.061498015822683126,0.9930601553409069,0.00371013296520898
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2003_C1C3_DME_LTHT,4,0.6452259162751672,0.05558655242679149,0.9875856908977163,0.006636854238563861
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2003_C1C3_DME_LTHT,4,0.7311461996448173,0.01520499129115598,0.9590546671598816,-0.021889917801334292
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2003_C1C3_DME_LTHT,4,0.8050722421144496,0.015927298086626223,0.9794847612307755,-0.01096771864296735
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2003_C1C3_DME_LTHT,4,0.82822738219654,0.0188951397780084,0.9910120762371915,-0.0048050632080774425
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2003_C1C3_DME_LTHT,4,0.9955057275163613,0.006486214796119165,0.9890273563133208,0.005866120793366657
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2003_C1C3_DME_LTHT,4,1.0,0.0,0.9999999999999999,-5.551115123125783e-17
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",POLIMI_1212_C1C3,5,0.0,1.0,0.9999999999999993,3.3306690738754696e-16
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",POLIMI_1212_C1C3,5,0.016138704670574437,0.9451550221756831,0.40334530193917584,0.31897951220302323
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",POLIMI_1212_C1C3,5,0.04102145668757989,0.7109565979660634,0.4565827277874904,0.2905180785074004
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",POLIMI_1212_C1C3,5,0.08976759826859652,0.5638757052976987,0.4377845574837712,0.30056782958332084
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",POLIMI_1212_C1C3,5,0.1061101066150559,0.43985855521891476,0.611507717675432,0.20769312487320285
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",POLIMI_1212_C1C3,5,0.1494710138659974,0.3805546317909554,0.6219547446098943,0.2021080057643495
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",POLIMI_1212_C1C3,5,0.1710624541541674,0.3852107503078253,0.5706465567115229,0.22953804327354077
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",POLIMI_1212_C1C3,5,0.18106801030588907,0.36242089770160635,0.5935347494432412,0.21730171198091752
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",POLIMI_1212_C1C3,5,0.2181197186154314,0.28978086692641003,0.6942109791277369,0.16347886479715798
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",POLIMI_1212_C1C3,5,0.24159151840118337,0.28254054422848485,0.6869319326683194,0.1673703395420555
201,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",POLIMI_1212_C1C3,5,0.33033549448319843,0.13973687925331268,0.8753217866912146,0.06665462585451162
